,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.88,6,-3.2,4.6,False
1,1.1,4,-3.3,4.6,False
2,1.18,14,-3.5,4.0,False
3,-0.29,2,-3.5,4.3,False
4,1.04,8,-3.2,4.4,False
5,1.87,6,-3.3,4.4,True
6,2.3,5,-3.2,4.5,True
7,1.71,7,-3.3,4.5,True
8,1.98,12,-3.05,4.5,True
